Author & Publication Year,Journal,DOI
Abadie et al. 2019,Frontiers in Ecology and Evolution,10.3389/fevo.2019.00190
Alexandre et al. 2005,Marine Ecology Progress Series,10.3354/meps298115
Aoki et al. 2021,Frontiers in Marine Science,10.3389/fmars.2020.576784
Balsby et al. 2017,Frontiers in Marine Science,10.3389/fmars.2016.00285
Barañano et al. 2017,Marine Biology Research,10.1080/17451000.2017.1307989
Boese 2002,Aquatic Botany,10.1016/S0304-3770(02)00004-9
Boese et al. 2009,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2009.04.011
Bryars and Neverauskas 2004,Aquatic Botany,10.1016/j.aquabot.2004.09.001
Cabaço et al. 2005,Marine Ecology Progress Series,10.3354/meps298123
Cambridge 2002,Bulletin of Marine Science,
Cardoso et al. 2010,Marine Pollution Bulletin,10.1016/j.marpolbul.2009.11.004
Collier et al. 2009,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2008.12.003
Creed et al. 1999,Journal of Experimental Marine Biology and Ecology,10.1016/S0022-0981(98)00188-9
Cyrus et al. 2008,African Journal of Aquatic Science,10.2989/AJAS.2008.33.3.4.616
Dawes et al. 1997,Aquatic Botany,10.1016/S0304-3770(97)00021-1
de Iongh et al. 1995,Aquatic Botany,10.1016/0304-3770(94)00438-R
Di Carlo and Kenworthy 2008,Oecologia,10.1007/s00442-008-1120-0
Eckrich and Holmquist 2000,Marine Ecology Progress Series,10.3354/meps201199
Eklöf et al. 2009,Marine and Freshwater Research,10.1071/MF09008
Eklöf et al. 2011,PLoS ONE,10.1371/journal.pone.0023229
El-Hacen et al. 2018,Scientific Reports,10.1038/s41598-018-34977-5
Frederiksen et al. 2004,Aquatic Botany,10.1016/j.aquabot.2003.10.002
Godet et al. 2008,Diseases of Aquatic Organisms,10.3354/dao01897
González-Correa et al. 2005,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2004.12.032
Greening and Janicki 2006,Environmental Management,10.1007/s00267-005-0079-4
Hammerstorm et al. 2007,Marine Ecology Progress Series,10.3354/meps07004
Heck and Valentine 1995,Journal of Experimental Marine Biology and Ecology,10.1016/0022-0981(95)00012-G
Kenworthy et al. 2002,Journal of Coastal Research,
Kim et al. 2020,Frontiers in Marine Science,10.3389/fmars.2020.00500
Lee et al. 2007,Marine Ecology Progress Series,10.3354/meps342105
Lundquist et al. 2018,Scientific Reports,10.1038/s41598-018-31398-2
Macreadie et al. 2014,Ecology and Evolution,10.1002/ece3.933
McMahon et al. 2011,Marine Pollution Bulletin,10.1016/j.marpolbul.2010.11.001
Meehan and West 2000,Aquatic Botany,10.1016/S0304-3770(99)00097-2
Nakaoka and Aioi 1999,Marine Ecology Progress Series,10.3354/meps184097
Neckles et al. 2005,Marine Ecology Progress Series,10.3354/meps285057
Olesen et al. 2004,Estuaries,10.1007/BF02912039
Orth et al. 2020,Science Advances,10.1126/sciadv.abc6434
Park et al. 2009,"Estuarine, Coastal and Shelf Science",10.1016/j.ecss.2008.10.003
Pergent-Martini et al. 2002,Bulletin of Marine Science,
Peterken and Conacher 1997,Aquatic Botany,10.1016/S0304-3770(97)00061-2
Peterson et al. 1987,Fishery Bulletin,
Plus et al. 2003,Aquatic Botany,10.1016/S0304-3770(03)00089-5
Preen 1995,Marine Ecology Progress Series,10.3354/meps124201
Preen et al. 1995,Aquatic Botany,10.1016/0304-3770(95)00491-H
Qin et al. 2016,Aquatic Botany,10.1016/j.aquabot.2016.01.002
Rasheed 1999,Journal of Experimental Marine Biology and Ecology,10.1016/S0022-0981(98)00158-0
Rassheed 2004,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2004.03.022
Rasheed et al. 2014,Marine Pollution Bulletin,10.1016/j.marpolbul.2014.02.013
Rollon et al. 1999,Marine Pollution Bulletin,10.1016/S0025-326X(99)00105-8
Ruesink et al. 2012,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2012.05.002
Sheridan 2004,"Estuarine, Coastal and Shelf Science",10.1016/j.ecss.2003.10.004
Short 1983,Journal of Experimental Marine Biology and Ecology,10.1016/0022-0981(83)90159-4
Smith et al. 2016,Marine Ecology Progress Series,10.3354/meps11531
Soissons et al. 2014,Marine Pollution Bulletin,10.1016/j.marpolbul.2014.07.057
Soissons et al. 2016,Ecological Indicators,10.1016/j.ecolind.2016.01.030
Vaudrey 2010,Aquatic Botany,10.1016/j.aquabot.2010.08.005
Williams 1988,Marine Ecology Progress Series,10.3354/meps042063
Williams 1990,Ecological Monographs,10.2307/1943015
York 2015,Scientific Reports,10.1038/srep13167
,,
